Date,Platform,Prompt,Brand,Mentioned,Position,Sentiment
2024-09-08,Claude,best travel credit card,Citi,1,1,Positive
2024-11-13,Claude,best cashback card,AMEX,1,4,Positive
2025-08-16,Claude,best business card,Chase,1,3,Negative
2025-12-16,Claude,best premium card,Chase,1,3,Positive
2025-07-05,ChatGPT,best cashback card,Citi,1,4,Neutral
2024-09-09,Perplexity,best cashback card,Capital One,1,2,Neutral
2025-09-29,Perplexity,best cashback card,Citi,1,5,Neutral
2024-07-17,Perplexity,best premium card,Chase,1,4,Positive
2025-04-20,Gemini,best premium card,Capital One,1,4,Neutral
2025-09-28,Gemini,best business card,Chase,0,3,Negative
2025-10-08,ChatGPT,best cashback card,Capital One,0,4,Neutral
2025-02-05,ChatGPT,best business card,AMEX,1,4,Positive
2025-12-24,ChatGPT,best premium card,AMEX,1,3,Positive
2025-04-18,ChatGPT,best cashback card,Capital One,1,3,Positive
2024-04-07,Claude,best travel credit card,Capital One,1,2,Positive
2024-08-18,ChatGPT,best cashback card,Capital One,1,1,Neutral
2024-08-16,ChatGPT,best premium card,Chase,1,4,Neutral
2025-12-18,ChatGPT,best premium card,Citi,1,5,Negative
2024-11-30,ChatGPT,best travel credit card,Citi,1,5,Neutral
2024-03-20,Perplexity,best premium card,Chase,1,4,Negative
2025-05-19,Claude,best travel credit card,AMEX,0,4,Positive
2024-10-05,ChatGPT,best premium card,Capital One,1,3,Negative
2025-04-12,Gemini,best travel credit card,Citi,1,2,Neutral
2024-05-17,Perplexity,best premium card,AMEX,0,2,Positive
2024-06-26,Perplexity,best travel credit card,Capital One,1,3,Neutral
2024-04-13,Gemini,best premium card,Capital One,1,5,Positive
2024-08-17,Claude,best business card,AMEX,1,1,Negative
2025-03-10,Claude,best travel credit card,Citi,1,5,Neutral
2024-11-02,Perplexity,best premium card,Capital One,1,5,Positive
2025-03-24,Gemini,best premium card,Capital One,0,1,Neutral
2025-09-16,Claude,best travel credit card,Citi,1,1,Positive
2025-11-12,Perplexity,best business card,Citi,1,2,Neutral
2025-09-27,Gemini,best travel credit card,Capital One,1,1,Negative
2024-12-03,Claude,best premium card,AMEX,1,3,Neutral
2025-09-22,Claude,best travel credit card,Capital One,1,1,Neutral
2025-07-14,Perplexity,best business card,AMEX,1,5,Positive
2025-02-10,ChatGPT,best premium card,Citi,1,3,Neutral
2025-05-25,Perplexity,best travel credit card,Chase,1,1,Negative
2024-10-29,Perplexity,best business card,AMEX,1,2,Neutral
2024-06-18,Perplexity,best business card,Capital One,1,2,Positive
2025-08-03,Gemini,best premium card,AMEX,1,5,Neutral
2025-08-09,Claude,best cashback card,Citi,1,4,Negative
2024-10-25,Gemini,best business card,Citi,1,5,Neutral
2025-10-07,Claude,best premium card,AMEX,1,1,Positive
2025-05-09,Gemini,best premium card,AMEX,1,5,Neutral
2024-05-21,ChatGPT,best business card,Chase,1,3,Negative
2024-01-26,ChatGPT,best travel credit card,Citi,1,5,Neutral
2025-10-15,ChatGPT,best business card,Capital One,1,2,Positive
2025-01-14,Perplexity,best premium card,Chase,1,3,Negative
2024-11-07,Gemini,best cashback card,Chase,1,2,Neutral
2024-12-28,Gemini,best premium card,Chase,0,5,Negative
2024-06-05,Claude,best premium card,Citi,1,1,Positive
2024-07-28,ChatGPT,best travel credit card,Chase,1,5,Negative
2024-07-24,Gemini,best premium card,Capital One,1,3,Negative
2024-05-07,Gemini,best business card,Citi,1,2,Negative
2025-11-27,ChatGPT,best business card,Citi,1,5,Positive
2024-09-02,Perplexity,best business card,AMEX,0,1,Negative
2024-09-17,Gemini,best cashback card,Chase,1,1,Neutral
2024-02-18,Claude,best travel credit card,Citi,1,4,Negative
2024-04-13,ChatGPT,best travel credit card,Capital One,1,1,Neutral
2025-07-26,Perplexity,best travel credit card,Chase,1,5,Negative
2024-06-25,ChatGPT,best business card,AMEX,1,1,Neutral
2024-10-31,ChatGPT,best cashback card,Chase,1,1,Positive
2024-04-07,ChatGPT,best business card,Capital One,1,3,Positive
2024-03-09,Gemini,best business card,AMEX,1,1,Negative
2025-09-19,ChatGPT,best travel credit card,AMEX,1,5,Neutral
2024-03-08,Claude,best cashback card,Citi,1,1,Negative
2024-05-24,Perplexity,best premium card,AMEX,1,2,Negative
2024-05-08,Perplexity,best travel credit card,Citi,1,4,Negative
2024-03-01,ChatGPT,best cashback card,Citi,1,4,Neutral
2024-09-22,Gemini,best premium card,Capital One,0,3,Neutral
2025-09-28,Claude,best business card,Chase,1,5,Negative
2025-12-01,Claude,best business card,Chase,1,5,Positive
2025-03-09,Claude,best travel credit card,Capital One,1,3,Positive
2025-06-28,Perplexity,best cashback card,Capital One,1,4,Positive
2025-03-01,Claude,best cashback card,AMEX,1,2,Neutral
2025-08-25,ChatGPT,best cashback card,Chase,1,4,Neutral
2024-08-03,Perplexity,best business card,Chase,1,4,Negative
2025-05-13,ChatGPT,best premium card,Chase,1,2,Neutral
2024-07-02,Claude,best travel credit card,Chase,1,4,Negative
2025-09-20,Gemini,best travel credit card,Capital One,1,1,Positive
2024-12-28,Gemini,best business card,Capital One,1,5,Negative
2024-04-01,Claude,best travel credit card,AMEX,0,4,Neutral
2025-12-23,Perplexity,best premium card,AMEX,1,2,Positive
2024-06-30,Perplexity,best business card,Capital One,1,5,Neutral
2024-07-12,Gemini,best cashback card,Citi,1,5,Positive
2025-03-18,Claude,best cashback card,Chase,1,4,Neutral
2024-06-21,Claude,best premium card,Citi,0,4,Neutral
2024-09-15,ChatGPT,best business card,AMEX,1,4,Positive
2025-03-30,ChatGPT,best premium card,Citi,1,3,Positive
2024-03-29,Claude,best cashback card,Citi,1,5,Positive
2025-08-13,Perplexity,best business card,Capital One,1,3,Negative
2025-09-19,ChatGPT,best cashback card,Chase,1,4,Negative
2025-07-22,Perplexity,best travel credit card,Capital One,1,2,Neutral
2025-08-02,Perplexity,best business card,Capital One,1,4,Neutral
2024-05-09,Gemini,best travel credit card,AMEX,1,4,Positive
2024-01-06,ChatGPT,best premium card,Citi,1,1,Neutral
2024-04-30,Perplexity,best premium card,Capital One,1,1,Positive
2024-10-16,Perplexity,best business card,Capital One,1,5,Positive
2024-05-04,Claude,best travel credit card,AMEX,1,5,Neutral
2025-01-09,Claude,best premium card,Capital One,1,5,Positive
2025-07-24,Claude,best business card,AMEX,0,3,Neutral
2024-01-22,Perplexity,best travel credit card,Citi,1,5,Positive
2025-03-11,Perplexity,best premium card,Capital One,1,1,Negative
2024-08-08,Perplexity,best business card,Citi,0,5,Positive
2024-08-28,Gemini,best cashback card,Capital One,0,4,Neutral
2025-06-09,ChatGPT,best premium card,Citi,0,1,Negative
2025-05-11,ChatGPT,best business card,Chase,1,3,Neutral
2025-12-09,ChatGPT,best business card,AMEX,1,3,Positive
2024-05-22,Claude,best business card,Chase,0,5,Positive
2024-02-21,Gemini,best cashback card,Chase,1,3,Neutral
2025-12-18,Claude,best premium card,Citi,0,3,Neutral
2025-04-29,Perplexity,best premium card,Chase,1,1,Negative
2025-01-11,ChatGPT,best premium card,Citi,1,5,Negative
2024-12-13,Gemini,best travel credit card,Citi,0,5,Negative
2024-04-10,ChatGPT,best cashback card,Chase,1,4,Neutral
2024-12-11,Claude,best cashback card,Citi,1,5,Neutral
2024-10-29,Perplexity,best travel credit card,AMEX,0,5,Neutral
2024-07-18,Claude,best business card,Capital One,1,1,Neutral
2024-10-28,Gemini,best business card,Chase,1,4,Neutral
2025-06-17,Gemini,best travel credit card,AMEX,1,4,Positive
2025-12-14,Gemini,best cashback card,Citi,1,5,Positive
2024-03-23,Perplexity,best travel credit card,Capital One,0,2,Positive
2024-10-14,ChatGPT,best business card,Capital One,0,4,Negative
2025-02-01,ChatGPT,best travel credit card,Chase,1,5,Positive
2024-01-24,Gemini,best premium card,AMEX,1,5,Neutral
2024-09-30,Claude,best travel credit card,Chase,1,1,Positive
2025-05-17,Claude,best business card,Citi,1,4,Neutral
2025-01-16,Gemini,best cashback card,Capital One,1,4,Positive
2024-11-19,Claude,best premium card,Capital One,1,2,Negative
2025-02-16,Claude,best travel credit card,AMEX,1,5,Neutral
2025-11-01,Perplexity,best premium card,Citi,1,4,Neutral
2024-05-10,Claude,best business card,Capital One,1,3,Positive
2024-03-21,Gemini,best business card,Citi,1,4,Positive
2024-07-13,ChatGPT,best cashback card,Capital One,1,5,Negative
2025-05-23,Perplexity,best business card,Citi,1,3,Neutral
2024-08-06,ChatGPT,best cashback card,Citi,1,2,Positive
2025-09-29,Perplexity,best premium card,Citi,1,3,Positive
2025-04-30,Perplexity,best business card,Citi,1,1,Neutral
2025-04-05,Perplexity,best travel credit card,AMEX,1,3,Negative
2024-05-05,ChatGPT,best travel credit card,Citi,1,3,Neutral
2024-03-26,Gemini,best travel credit card,Chase,1,3,Neutral
2024-06-21,Claude,best business card,AMEX,1,5,Negative
2025-10-13,ChatGPT,best travel credit card,AMEX,1,2,Neutral
2024-02-08,Claude,best premium card,Chase,1,3,Neutral
2025-12-02,Perplexity,best cashback card,Capital One,0,1,Positive
2025-11-25,Perplexity,best travel credit card,Citi,0,4,Negative
2025-03-05,Perplexity,best travel credit card,AMEX,1,3,Negative
2024-04-03,Claude,best business card,Chase,1,4,Negative
2025-09-21,Perplexity,best cashback card,AMEX,1,4,Positive
2025-07-18,Gemini,best cashback card,AMEX,0,4,Negative
2024-12-29,Gemini,best premium card,Citi,1,3,Neutral
2024-08-07,Perplexity,best travel credit card,Chase,1,5,Neutral
2024-03-08,Gemini,best premium card,Chase,1,3,Neutral
2024-09-17,Gemini,best cashback card,Capital One,1,3,Negative
2025-11-05,ChatGPT,best travel credit card,Chase,1,5,Negative
2025-10-08,Claude,best cashback card,Chase,0,2,Negative
2025-02-03,Perplexity,best premium card,Citi,1,5,Positive
2024-03-30,ChatGPT,best premium card,Citi,1,3,Positive
2024-05-27,Claude,best business card,Chase,0,3,Neutral
2024-05-11,Perplexity,best premium card,Capital One,1,5,Neutral
2024-04-05,ChatGPT,best travel credit card,Capital One,1,1,Negative
2025-12-13,Claude,best travel credit card,Capital One,0,5,Negative
2025-12-01,Perplexity,best premium card,Capital One,1,4,Negative
2025-09-20,Gemini,best cashback card,Capital One,1,5,Positive
2025-01-05,Gemini,best travel credit card,AMEX,1,1,Neutral
2024-04-18,Claude,best business card,Capital One,1,4,Neutral
2025-07-19,ChatGPT,best travel credit card,Citi,1,3,Positive
2025-03-15,Claude,best business card,Chase,1,2,Negative
2025-01-07,Perplexity,best travel credit card,Citi,1,5,Negative
2025-10-03,Gemini,best premium card,Chase,0,5,Negative
2024-08-07,Gemini,best premium card,Chase,1,5,Neutral
2024-07-15,Gemini,best cashback card,Citi,1,5,Neutral
2025-06-09,Perplexity,best premium card,Citi,1,1,Negative
2024-02-14,ChatGPT,best business card,Citi,1,4,Positive
2025-12-14,Perplexity,best premium card,Capital One,1,1,Negative
2025-04-30,Claude,best cashback card,Chase,1,2,Positive
2025-11-17,ChatGPT,best travel credit card,Capital One,1,1,Neutral
2024-09-13,Gemini,best travel credit card,Chase,1,5,Neutral
2024-09-08,Gemini,best travel credit card,AMEX,1,2,Neutral
2024-07-08,ChatGPT,best cashback card,Capital One,1,2,Neutral
2025-10-04,Claude,best premium card,Chase,0,2,Negative
2024-12-24,ChatGPT,best cashback card,Chase,1,3,Neutral
2024-10-07,Perplexity,best premium card,Chase,1,1,Positive
2025-06-25,Perplexity,best travel credit card,Chase,1,2,Negative
2025-01-10,Gemini,best travel credit card,AMEX,1,4,Negative
2025-09-03,Claude,best premium card,Citi,1,2,Negative
2025-07-23,Perplexity,best business card,AMEX,1,4,Negative
2025-10-31,Claude,best travel credit card,Citi,0,1,Positive
2024-08-10,Claude,best business card,Capital One,1,4,Neutral
2025-11-13,Gemini,best cashback card,AMEX,1,1,Positive
2025-04-17,Gemini,best premium card,Citi,1,1,Negative
2025-09-28,Perplexity,best travel credit card,Capital One,1,5,Positive
2024-08-25,Gemini,best cashback card,Capital One,1,5,Positive
2024-08-05,Perplexity,best travel credit card,AMEX,1,3,Negative
2024-03-04,Gemini,best business card,Citi,1,5,Positive
2024-07-05,ChatGPT,best business card,Citi,1,4,Negative
2025-07-15,Perplexity,best travel credit card,Capital One,1,2,Neutral
2025-02-09,Claude,best premium card,Capital One,1,1,Neutral
2024-05-23,Perplexity,best business card,Citi,0,5,Negative
2024-09-04,ChatGPT,best travel credit card,Citi,0,1,Positive
2024-12-02,Gemini,best cashback card,AMEX,1,4,Positive
2025-10-28,Gemini,best cashback card,Citi,1,5,Negative
2024-05-24,Claude,best business card,AMEX,1,5,Negative
2025-08-15,Perplexity,best cashback card,Citi,1,2,Negative
2024-05-09,Perplexity,best business card,Citi,0,2,Neutral
2024-04-28,Perplexity,best premium card,Citi,1,5,Negative
2025-02-23,Perplexity,best travel credit card,Chase,1,1,Positive
2024-10-05,Claude,best premium card,Chase,0,4,Negative
2024-12-13,Gemini,best business card,Chase,1,4,Negative
2025-04-18,Gemini,best business card,AMEX,1,2,Positive
2024-04-16,Claude,best travel credit card,Capital One,1,1,Positive
2025-07-16,Gemini,best cashback card,AMEX,1,1,Positive
2024-11-27,Perplexity,best cashback card,Capital One,1,3,Negative
2024-12-02,ChatGPT,best cashback card,Capital One,0,3,Neutral
2025-04-20,ChatGPT,best business card,Citi,1,3,Negative
2025-01-29,Claude,best travel credit card,Capital One,1,4,Neutral
2025-05-07,ChatGPT,best cashback card,AMEX,1,4,Positive
2025-02-13,Gemini,best business card,Citi,1,5,Negative
2025-02-16,Perplexity,best business card,Chase,0,5,Positive
2025-02-13,Claude,best business card,Capital One,1,4,Positive
2024-10-05,Perplexity,best travel credit card,Citi,1,1,Negative
2025-01-06,Gemini,best premium card,Chase,1,1,Positive
2025-12-14,Gemini,best travel credit card,Citi,1,2,Negative
2025-05-23,Claude,best business card,Chase,1,3,Positive
2024-08-21,Gemini,best premium card,Citi,1,2,Negative
2025-03-20,ChatGPT,best cashback card,Chase,1,4,Negative
2024-08-19,Perplexity,best business card,Chase,1,1,Negative
2024-02-02,Perplexity,best cashback card,Chase,1,1,Positive
2025-09-26,Gemini,best business card,Capital One,1,5,Negative
2025-03-14,ChatGPT,best travel credit card,Capital One,1,1,Positive
2025-12-08,Perplexity,best cashback card,Capital One,1,4,Positive
2024-01-08,Gemini,best travel credit card,AMEX,1,3,Positive
2025-04-14,Claude,best premium card,Citi,1,2,Negative
2024-12-15,Gemini,best travel credit card,Citi,0,1,Negative
2024-04-30,Claude,best travel credit card,AMEX,1,1,Positive
2024-07-06,Claude,best travel credit card,AMEX,1,4,Negative
2025-10-17,Gemini,best cashback card,Chase,1,4,Positive
2025-11-16,ChatGPT,best travel credit card,Citi,1,4,Positive
2025-07-31,Gemini,best cashback card,Citi,1,5,Positive
2024-01-23,Perplexity,best business card,Capital One,1,1,Neutral
2024-07-10,ChatGPT,best business card,Chase,1,2,Positive
2025-02-15,Gemini,best premium card,AMEX,1,2,Negative
2025-10-06,ChatGPT,best business card,Citi,1,2,Positive
2025-02-22,Claude,best business card,Citi,0,5,Neutral
2024-05-16,ChatGPT,best premium card,Chase,1,3,Neutral
2025-07-03,Claude,best business card,Chase,1,5,Neutral
2024-03-23,Claude,best premium card,Chase,1,1,Positive
2025-11-11,Perplexity,best travel credit card,AMEX,1,5,Negative
2024-11-11,Gemini,best business card,Chase,0,4,Neutral
2024-09-19,Perplexity,best travel credit card,Capital One,1,2,Positive
2024-07-08,Perplexity,best travel credit card,Chase,1,1,Negative
2024-04-26,Claude,best cashback card,Chase,1,1,Positive
2025-06-21,Perplexity,best travel credit card,AMEX,1,1,Neutral
2024-03-18,Claude,best premium card,Chase,1,1,Negative
2025-04-24,Gemini,best cashback card,Capital One,0,3,Negative
2024-06-06,ChatGPT,best travel credit card,Capital One,0,5,Negative
2025-08-08,Gemini,best business card,AMEX,0,1,Neutral
2025-05-28,ChatGPT,best travel credit card,Citi,0,3,Negative
2024-10-10,Perplexity,best travel credit card,Citi,1,5,Negative
2025-06-24,Perplexity,best travel credit card,AMEX,1,5,Negative
2024-02-13,ChatGPT,best travel credit card,Chase,1,3,Positive
2025-05-18,Perplexity,best business card,Chase,1,4,Negative
2024-08-23,Gemini,best cashback card,Chase,0,4,Positive
2024-04-04,Claude,best premium card,Citi,1,1,Negative
2024-02-04,ChatGPT,best premium card,Chase,1,3,Negative
2025-08-07,Claude,best cashback card,Chase,1,3,Positive
2025-11-23,ChatGPT,best business card,Chase,0,4,Negative
2025-05-10,Gemini,best cashback card,Chase,0,3,Positive
2024-06-29,Perplexity,best business card,Capital One,1,3,Neutral
2024-01-07,Perplexity,best cashback card,Capital One,1,1,Positive
2025-08-18,ChatGPT,best travel credit card,AMEX,0,1,Neutral
2025-12-01,Perplexity,best premium card,AMEX,0,3,Negative
2025-04-20,Claude,best travel credit card,AMEX,1,2,Positive
2025-05-13,Claude,best business card,Chase,1,2,Neutral
2025-07-06,Claude,best travel credit card,Capital One,1,3,Positive
2024-08-06,Perplexity,best travel credit card,Chase,1,4,Positive
2025-05-20,Gemini,best business card,Citi,1,1,Positive
2024-08-09,Gemini,best business card,Chase,1,2,Neutral
2025-11-11,Claude,best business card,Citi,1,1,Neutral
2024-05-31,Gemini,best travel credit card,Capital One,1,3,Neutral
2024-10-12,Perplexity,best premium card,Citi,1,1,Negative
2025-01-19,Gemini,best premium card,Chase,1,2,Positive
2024-10-06,Perplexity,best business card,AMEX,1,3,Negative
2025-10-09,Gemini,best business card,Citi,1,3,Neutral
2024-07-27,Perplexity,best cashback card,Citi,1,3,Negative
2024-04-04,Perplexity,best travel credit card,Citi,1,1,Neutral
2025-12-08,Gemini,best business card,Citi,1,4,Negative
2025-06-28,Perplexity,best cashback card,Chase,1,2,Positive
2024-04-25,Gemini,best travel credit card,Capital One,1,5,Positive
2024-02-29,Perplexity,best travel credit card,AMEX,1,2,Positive
2024-03-23,Gemini,best business card,Citi,1,2,Positive
2024-11-29,Gemini,best cashback card,Chase,1,5,Neutral
2025-01-19,Gemini,best travel credit card,Chase,1,2,Positive
2025-09-02,Gemini,best cashback card,Chase,1,3,Negative
2025-11-20,ChatGPT,best premium card,AMEX,1,3,Positive
2024-08-31,Claude,best premium card,Citi,0,1,Negative
2024-04-28,Gemini,best cashback card,AMEX,1,5,Negative
2024-04-12,ChatGPT,best business card,AMEX,1,3,Neutral
2024-09-28,Perplexity,best business card,Citi,0,5,Neutral
2025-03-17,ChatGPT,best premium card,Chase,1,3,Negative
2024-08-24,ChatGPT,best travel credit card,Capital One,1,2,Neutral
2025-06-30,ChatGPT,best cashback card,Capital One,1,5,Neutral
2025-12-16,ChatGPT,best travel credit card,Capital One,1,3,Neutral
2024-12-21,Claude,best travel credit card,Capital One,0,4,Neutral
2025-01-05,ChatGPT,best travel credit card,Chase,1,5,Positive
2024-10-28,Claude,best travel credit card,AMEX,1,5,Positive
2024-03-11,Perplexity,best business card,Citi,1,4,Negative
2025-10-05,Perplexity,best travel credit card,Chase,1,5,Negative
2024-03-16,ChatGPT,best cashback card,AMEX,1,1,Negative
2024-06-22,Perplexity,best business card,Chase,1,2,Neutral
2025-04-09,Claude,best business card,Chase,0,2,Positive
2024-08-23,Claude,best travel credit card,Citi,1,3,Negative
2024-09-16,ChatGPT,best premium card,Citi,1,1,Positive
2024-11-22,Gemini,best business card,Citi,1,4,Negative
2025-11-08,Claude,best cashback card,AMEX,0,4,Neutral
2024-02-05,Perplexity,best premium card,AMEX,1,2,Positive
2024-12-27,Gemini,best premium card,Citi,1,4,Negative
2025-03-15,Gemini,best travel credit card,Chase,1,2,Positive
2024-01-23,ChatGPT,best premium card,AMEX,1,1,Positive
2024-08-07,Perplexity,best cashback card,AMEX,1,1,Neutral
2024-01-28,Gemini,best cashback card,Citi,1,1,Positive
2025-06-28,Claude,best premium card,Chase,0,3,Neutral
2025-12-26,ChatGPT,best business card,Citi,1,4,Positive
2025-07-04,Gemini,best cashback card,Capital One,1,3,Neutral
2025-06-17,Gemini,best business card,Chase,1,5,Positive
2024-07-07,ChatGPT,best premium card,Chase,1,4,Negative
2025-03-27,Perplexity,best premium card,Citi,0,5,Neutral
2025-11-29,ChatGPT,best premium card,Chase,1,1,Positive
2025-05-18,ChatGPT,best business card,Citi,1,3,Neutral
2024-07-26,Gemini,best business card,Chase,0,3,Neutral
2024-08-29,Perplexity,best travel credit card,Capital One,1,2,Neutral
2025-09-13,Perplexity,best business card,AMEX,1,1,Negative
2024-03-01,ChatGPT,best cashback card,Capital One,1,2,Positive
2025-10-14,Perplexity,best premium card,AMEX,1,1,Negative
2025-12-19,ChatGPT,best business card,Capital One,1,2,Neutral
2024-08-12,ChatGPT,best business card,Chase,1,3,Positive
2025-04-22,Claude,best business card,Citi,1,3,Neutral
2025-12-27,Claude,best cashback card,Capital One,0,2,Positive
2024-07-15,ChatGPT,best business card,Citi,1,2,Neutral
2024-06-15,Claude,best cashback card,Capital One,0,4,Negative
2025-04-26,Gemini,best premium card,Chase,1,3,Neutral
2024-06-17,ChatGPT,best cashback card,Capital One,0,5,Neutral
2025-01-11,Gemini,best travel credit card,AMEX,1,5,Positive
2024-07-15,ChatGPT,best travel credit card,Chase,0,1,Negative
2025-07-24,Gemini,best premium card,AMEX,1,4,Neutral
2025-12-01,Claude,best travel credit card,Citi,1,2,Negative
2024-06-26,ChatGPT,best premium card,AMEX,1,5,Negative
2024-07-01,ChatGPT,best cashback card,Chase,1,1,Positive
2025-01-22,Claude,best travel credit card,AMEX,1,3,Positive
2024-07-21,Gemini,best business card,AMEX,1,3,Positive
2025-05-13,ChatGPT,best premium card,Citi,1,5,Negative
2024-06-03,Claude,best travel credit card,Chase,1,1,Neutral
2025-09-22,Claude,best travel credit card,Citi,1,3,Positive
2025-04-25,Perplexity,best travel credit card,Citi,1,1,Negative
2025-08-21,Claude,best travel credit card,Chase,1,3,Negative
2025-06-08,Claude,best business card,Capital One,1,3,Neutral
2025-09-25,Gemini,best business card,Chase,1,3,Negative
2025-04-24,ChatGPT,best premium card,Capital One,1,2,Positive
2025-07-20,ChatGPT,best cashback card,Chase,1,2,Positive
2025-05-02,Claude,best premium card,AMEX,1,1,Positive
2025-12-14,Claude,best travel credit card,Citi,1,3,Positive
2024-07-25,Perplexity,best premium card,AMEX,1,1,Positive
2024-03-19,Claude,best cashback card,Chase,0,5,Negative
2024-08-02,ChatGPT,best business card,Capital One,1,3,Positive
2025-03-04,ChatGPT,best cashback card,Chase,1,3,Positive
2024-11-09,Perplexity,best travel credit card,Capital One,1,1,Positive
2024-11-15,ChatGPT,best premium card,Citi,1,1,Positive
2024-06-10,Perplexity,best premium card,Chase,1,5,Neutral
2025-10-05,Claude,best premium card,Capital One,1,5,Negative
2024-03-17,Gemini,best premium card,Chase,1,1,Negative
2025-04-21,Perplexity,best business card,AMEX,1,2,Positive
2024-11-24,ChatGPT,best cashback card,Capital One,0,4,Neutral
2024-03-09,Perplexity,best travel credit card,Capital One,0,5,Neutral
2025-11-22,Gemini,best premium card,AMEX,1,4,Neutral
2025-04-12,Perplexity,best business card,Citi,1,5,Positive
2025-04-16,Perplexity,best cashback card,Chase,1,5,Neutral
2024-05-27,Perplexity,best cashback card,Citi,1,5,Neutral
2024-10-11,ChatGPT,best business card,Chase,1,5,Positive
2024-08-04,Claude,best travel credit card,Chase,0,2,Positive
2025-07-02,Claude,best travel credit card,Chase,0,2,Neutral
2025-08-01,ChatGPT,best travel credit card,Capital One,1,4,Negative
2024-05-06,Claude,best premium card,Chase,1,1,Positive
2025-10-20,Claude,best premium card,Chase,1,4,Negative
2025-07-17,ChatGPT,best business card,AMEX,1,2,Negative
2025-07-28,Gemini,best premium card,AMEX,1,2,Negative
2024-12-19,Gemini,best travel credit card,Capital One,1,3,Positive
2025-01-25,Claude,best travel credit card,Citi,1,3,Negative
2025-07-20,Claude,best travel credit card,Capital One,1,5,Positive
2024-01-09,Perplexity,best travel credit card,Citi,0,3,Positive
2025-06-03,Gemini,best business card,AMEX,1,1,Negative
2024-07-29,ChatGPT,best business card,Citi,1,4,Neutral
2024-04-10,ChatGPT,best cashback card,Chase,1,4,Neutral
2025-03-31,Gemini,best premium card,Capital One,1,2,Positive
2024-02-16,Claude,best cashback card,AMEX,1,4,Negative
2024-10-06,ChatGPT,best business card,AMEX,1,1,Negative
2024-11-17,Perplexity,best premium card,AMEX,1,3,Neutral
2024-01-29,Gemini,best travel credit card,Citi,1,3,Negative
2025-01-30,Gemini,best premium card,Capital One,1,1,Positive
2024-02-18,Claude,best cashback card,Capital One,1,3,Positive
2025-09-15,Perplexity,best cashback card,Chase,1,5,Negative
2025-12-09,Gemini,best travel credit card,Citi,1,4,Neutral
2024-11-16,Gemini,best cashback card,Capital One,0,3,Negative
2024-03-17,Claude,best travel credit card,Citi,1,4,Positive
2024-04-12,ChatGPT,best premium card,AMEX,1,1,Positive
2024-01-08,Gemini,best premium card,Chase,1,3,Positive
2025-09-26,Claude,best travel credit card,Chase,1,5,Neutral
2025-06-05,Claude,best business card,Capital One,0,5,Positive
2025-11-19,Perplexity,best premium card,Capital One,1,1,Positive
2025-08-08,Perplexity,best business card,Capital One,1,5,Negative
2025-06-13,ChatGPT,best premium card,Capital One,0,1,Negative
2024-01-10,Gemini,best premium card,Citi,1,5,Neutral
2025-07-31,Perplexity,best business card,Citi,1,3,Neutral
2024-01-09,Gemini,best cashback card,Chase,1,4,Negative
2025-09-30,Gemini,best travel credit card,AMEX,1,4,Positive
2025-07-03,Gemini,best cashback card,Chase,1,2,Positive
2025-10-08,Gemini,best cashback card,AMEX,1,4,Positive
2025-10-27,ChatGPT,best business card,AMEX,1,5,Negative
2025-01-25,Gemini,best cashback card,Capital One,1,2,Positive
2024-04-25,Claude,best business card,AMEX,1,2,Negative
2024-02-09,Gemini,best premium card,Citi,0,3,Neutral
2025-08-23,ChatGPT,best travel credit card,Chase,1,3,Positive
2024-12-22,ChatGPT,best travel credit card,Capital One,1,3,Negative
2025-09-02,Gemini,best cashback card,Citi,0,5,Positive
2025-11-16,Perplexity,best business card,Chase,1,5,Negative
2024-04-27,Perplexity,best cashback card,Chase,1,5,Positive
2024-03-11,Gemini,best premium card,Capital One,1,4,Neutral
2025-11-08,Perplexity,best business card,Citi,1,1,Neutral
2025-10-21,Claude,best travel credit card,AMEX,1,3,Negative
2025-12-27,Claude,best travel credit card,Citi,1,2,Negative
2025-04-21,Gemini,best cashback card,Chase,0,2,Neutral
2025-03-13,Perplexity,best travel credit card,AMEX,1,2,Negative
2024-05-28,ChatGPT,best travel credit card,Citi,1,1,Neutral
2024-08-21,Claude,best travel credit card,AMEX,1,5,Positive
2024-03-09,Gemini,best cashback card,Chase,0,5,Neutral
2024-06-16,ChatGPT,best cashback card,AMEX,1,5,Positive
2025-03-12,ChatGPT,best premium card,Capital One,1,2,Negative
2025-03-06,Claude,best business card,Citi,0,1,Neutral
2024-08-27,Perplexity,best travel credit card,Chase,1,4,Positive
2025-07-19,ChatGPT,best premium card,Chase,0,1,Neutral
2024-02-02,Gemini,best business card,Citi,1,1,Positive
2025-12-05,Gemini,best premium card,Citi,1,3,Negative
2025-05-11,Perplexity,best premium card,AMEX,1,4,Negative
2024-07-29,Perplexity,best travel credit card,Chase,1,1,Neutral
2024-03-09,Perplexity,best business card,AMEX,1,4,Positive
2025-10-24,Perplexity,best travel credit card,Citi,1,1,Negative
2024-02-23,Gemini,best cashback card,AMEX,1,4,Positive
2024-09-30,Gemini,best travel credit card,Citi,1,4,Negative
2024-12-27,ChatGPT,best premium card,Chase,0,4,Positive
2024-04-24,ChatGPT,best premium card,Chase,1,3,Positive
2024-09-15,Gemini,best cashback card,Citi,0,5,Positive
2025-10-15,Perplexity,best cashback card,Chase,1,1,Positive
2024-05-15,ChatGPT,best cashback card,Chase,1,3,Negative
